离开,離開,líkāi,leave,
努力,努力,nǔlì,great effort; to strive; to try hard,
更加,更加,gèngjiā,even more,
性格,性格,xìnggé,nature; disposition; temperament,
挺,挺,tǐng,Quite.,
商场,商場,shāngchǎng,shopping mall,
意大利,意大利,Yìdàlì,Italy,
挤,擠,jǐ,to squeeze; to push in to someone,
心意,心意,xīnyì,for one's heart to be in it; sincerity,
李太太,李太太,Lǐ Tàitai,Mrs. Li,
离,離,lí,to be away from,
速度,速度,sùdù,speed,
虽然,雖然,suīrán,although,
自动取款机,自動取款機,zìdòngqǔkuǎnjī,ATM,
取款,取款,qǔkuǎn,to withdraw money,
存款,存款,cúnkuǎn,to deposit money,
保安,保安,bǎoān,security guard,
时间表,時間表,shíjiānbiǎo,schedule,
学费,學費,xuéfèi,tuition fees,
见面,見面,jiànmiàn,to meet,
钥匙,鑰匙,yàoshi,keys,
靠窗,靠窗,kào chuāng,near the window,
左右,左右,zuǒyòu,about,
开玩笑,開玩笑,kāi wánxiào,to make a joke,
多长时间,多長時間,duōcháng shíjiān,how long?,
化妆,化妝,huàzhuāng,to put on make up,
出门,出門,chūmén,to go out,
着急,著急,zháojí,be anxious,
哎哟,哎喲,āiyōu,"oh, ouch (expresses astonishment and pain)",
