甜点,甜點,tiándiǎn,dessert,
点心,點心,diǎnxīn,dim sum,
一样,一樣,yīyàng,same,
书面,書面,shūmiàn,Written.,
之后,之後,zhīhòu,"later, in the future",
之前,之前,zhīqián,before,
开头,開頭,kāitóu,at the beginning,
讲故事,講故事,jiǎng gùshi,to tell a story,
以往,以往,yǐwǎng,in the past,
前几个月,前幾個月,qián jǐ ge yuè,the last few months,
几个月前,幾個月前,jǐ ge yuè qián,a few months ago,
条,條,tiáo,"MW for long, thin things",
河,河,hé,river,
庙,廟,miào,temple,
从前,從前,cóngqián,long ago,
以后,以後,yǐhòu,"after, later, in the future",
以前,以前,yǐqián,before,
病,病,bìng,illness,
安全,安全,ānquán,secure,
发音,發音,fāyīn,pronunciation,
倒车,倒車,dàochē,to back up a vehicle,
树叶,樹叶,shùyè,leaf,
草地,草地,cǎodì,lawn; grassy area,
超市,超市,chāoshì,supermarket,
护士,護士,hùshì,nurse,
药店,藥店,yàodiàn,pharmacy,
饭后,飯後,fànhòu,after eating,
饭前,飯前,fànqián,before eating,
西药,西藥,xīyào,Western medicine,
中药,中藥,zhōngyào,Chinese medicine,
感冒,感冒,gǎnmào,to catch a cold,
生病,生病,shēngbìng,to fall ill,
药,藥,yào,medicine,
