记住,記住,jìzhu,to remember,
敢,敢,gǎn,to dare,
犯错,犯錯,fàncuò,make mistakes,
再犯,再犯,zàifàn,to repeat the mistake,
见谅,見諒,jiànliàng,please forgive me,
原谅,原諒,yuánliàng,to forgive,
添麻烦,添麻煩,tiānmáfan,to cause trouble for sb,
合同,合同,hétong,(business) contract,
改期,改期,gǎiqī,to reschedule,
预约,預約,yùyuē,to book,
失礼,失禮,shīlǐ,to lack in manners,
来迟,來遲,láichí,to arrive late,
来晚,來晚,láiwǎn,to arrive late,
拜访,拜訪,bàifǎng,to pay a visit,
活该,活該,huógāi,to get what one deserves,
平常,平常,píngcháng,ordinary; common; usually,
注重,注重,zhùzhòng,to beware,
主管,主管,zhǔguǎn,manager,
新手,新手,xīnshǒu,"newbie, novice",
难得,難得,nándé,seldom; rare; hard to come by,
想法,想法,xiǎngfǎ,thoughts; ideas,
等等,等等,děngděng,later,
代替,代替,dàitì,to replace,
拜托,拜託,bàituō,to request sb to do sth,
关照,關照,guānzhào,to look after,
指教,指教,zhǐjiào,to give advice or comments,
幸会幸会。,幸會幸會。,xìng huì xìng huì。,It’s my pleasure to meet you.,
请多多包涵。,請多多包涵。,qǐng duōduō bāohán。,Please bear with me.,
包涵,包涵,bāohán,to bear with,
第一印象,第一印象,dìyīyìnxiàng,first impression,
会计,會計,kuàijì,accountant,
好意思,好意思,hǎoyìsi,to have the nerve,
吃素,吃素,chīsù,to be a vegetarian,
而已,而已,éryǐ,just; that's it,
荣幸,榮幸,róngxìng,honor,
破费,破費,pòfèi,go to great expense,
周到,周到,zhōudào,thoughtful,
素食,素食,sùshí,vegetables,
休假,休假,xiūjià,to take a vacation,
接受,接受,jiēshòu,to accept,
抱歉,抱歉,bàoqiàn,to be sorry; to feel apologetic; sorry!,
另外,另外,lìngwài,Additionally.,
算,算,suàn,to regard as,
场合,場合,chǎnghé,situation,
借口,藉口,jièkǒu,excuse,
营销,營銷,yíngxiāo,marketing,
打扰,打擾,dǎrǎo,to bother,
考虑,考慮,kǎolǜ,to consider,
在行,在行,zàiháng,to be adept at sth,
总部,總部,zǒngbù,general headquarters,
直接,直接,zhíjiē,direct,
租金,租金,zūjīn,rent,
成员,成員,chéngyuán,members,
运费,運費,yùnfèi,freight fee,
电源线,電源線,diànyuánxiàn,power line,
接好,接好,jiēhǎo,to connect,
消息,消息,xiāoxī,news,
受欢迎,受歡迎,shòuhuānyíng,popular,
专辑,專輯,zhuānjí,album,
海尔,海爾,hǎiěr,Haier,
冰箱,冰箱,bīngxiāng,refrigerator,
惠普,惠普,huìpǔ,Hewlett-Packard,
台式电脑,台式電腦,táishìdiànnǎo,desktop computer,
算在内,算在內,suànzàinèi,to be included,
价钱,價錢,jiàqian,price,
超出,超出,chāochū,to come out above,
美元,美元,měiyuán,American dollar,
戴尔,戴爾,dàiěr,Dell,
外接电源,外接電源,wàijiēdiànyuán,external electrical power supply,
不算在内,不算在內,bùsuànzàinèi,to not be included,
包括,包括,bāokuò,to include,
主机,主機,zhǔjī,core,
硬盘,硬盤,yìngpán,hard drive,
内存,內存,nèicún,memory,
硬件,硬件,yìngjiàn,hardware,
最新款,最新款,zuìxīnkuǎn,newest model,
预算,預算,yùsuàn,budget,
品牌,品牌,pǐnpái,brand,
笔记本电脑,筆記本電腦,bǐjìběndiànnǎo,"notebook computer, laptop",
味道,味道,wèidao,flavor; smell,
摔跤,摔跤,shuāijiāo,to fall to the ground,
赶不上,趕不上,gǎnbushàng,to be unable to catch,
日程,日程,rìchéng,schedule,
被,被,bèi,[passive marker],
要不然,要不然,yàoburán,otherwise,
丢脸,丟臉,diūliǎn,"to lose face, be ashamed",
牛仔裤,牛仔褲,niúzǎikù,jeans,
发型,髮型,fāxíng,hairstyle,
以为,以為,yǐwéi,to think mistakenly,
看来,看來,kànlai,to look as if,
